Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name,Host_Country
829820,17-May-15,11,7,8,"Rajiv Gandhi International Stadium, Uppal",11,bat,0,1,by wickets,9.0,7.0,403.0,505,503,Hyderabad,India
829822,19-May-15,3,7,8,Wankhede Stadium,7,bat,0,1,by runs,25.0,7.0,221.0,482,501,Mumbai,India
829824,20-May-15,2,5,8,Maharashtra Cricket Association Stadium,2,bat,0,1,by runs,71.0,2.0,110.0,495,499,Pune,India
829826,22-May-15,3,2,8,JSCA International Stadium Complex,3,field,0,1,by wickets,3.0,3.0,73.0,495,505,Ranchi,India
829828,24-May-15,7,3,8,Eden Gardens,3,field,0,1,by runs,41.0,7.0,57.0,482,501,Kolkata,India
980906,9-Apr-16,7,12,9,Wankhede Stadium,7,bat,0,1,by wickets,9.0,12.0,85.0,482,498,Mumbai,India
980908,10-Apr-16,1,6,9,Eden Gardens,1,field,0,1,by wickets,9.0,1.0,334.0,489,499,Kolkata,India
980910,11-Apr-16,4,13,9,"Punjab Cricket Association IS Bindra Stadium, Mohali",13,field,0,1,by wickets,5.0,13.0,254.0,495,496,Chandigarh,India
980912,12-Apr-16,2,11,9,M Chinnaswamy Stadium,11,field,0,1,by runs,45.0,2.0,110.0,482,521,Bangalore,India
980914,13-Apr-16,1,7,9,Eden Gardens,7,field,0,1,by wickets,6.0,7.0,57.0,507,489,Kolkata,India
980916,14-Apr-16,13,12,9,Saurashtra Cricket Association Stadium,12,bat,0,1,by wickets,7.0,13.0,254.0,496,498,Rajkot,India
980918,15-Apr-16,6,4,9,Feroz Shah Kotla,6,field,0,1,by wickets,8.0,6.0,136.0,489,499,Delhi,India
980920,16-Apr-16,11,1,9,"Rajiv Gandhi International Stadium, Uppal",11,bat,0,1,by wickets,8.0,1.0,40.0,495,498,Hyderabad,India
980922,16-Apr-16,7,13,9,Wankhede Stadium,13,field,0,1,by wickets,3.0,13.0,254.0,482,521,Mumbai,India
